 cnt_tasks	 t_packing	 t_low_bnd	       eps	  alg_time
       500	      9720	      9270	  0.048529	  0.000124
      1000	     19410	     18948	  0.024364	  0.000392
      1500	     26940	     26417	  0.019790	  0.000551
      2000	     32143	     31612	  0.016796	  0.001009
      2500	     34308	     33873	  0.012851	  0.000847
      3000	     35503	     35101	  0.011459	  0.000935
      3500	     47473	     46984	  0.010398	  0.001332
      4000	     55774	     53797	  0.036754	  0.001603
      4500	     69584	     67393	  0.032506	  0.002168
      5000	     73524	     71099	  0.034114	  0.002499
S
