 cnt_tasks	 t_packing	 t_low_bnd	       eps	  alg_time
       500	     11520	      9270	  0.242701	  0.000103
      1000	     22440	     18948	  0.184273	  0.000202
      1500	     31260	     26417	  0.183320	  0.000303
      2000	     38084	     31612	  0.204731	  0.000409
      2500	     40364	     33873	  0.191638	  0.000461
      3000	     41654	     35101	  0.186698	  0.000572
      3500	     55244	     46984	  0.175793	  0.000723
      4000	     64625	     53797	  0.201281	  0.000655
      4500	     80686	     67393	  0.197240	  0.000684
      5000	     85317	     71099	  0.199982	  0.001026
